indicator_id,page_code,page_name,url,match,score,order
1-1-2,KOSIS-202-DT_202022_C12,급여종류별 국민연금 수급인구,https://kosis.kr/statHtml/statHtml.do?orgId=202&tblId=DT_202022_C12&conn_path=I2,context,65,1
1-1-2,KOSIS-202-DT_202022_C20,실업급여 수급(연도별),https://kosis.kr/statHtml/statHtml.do?orgId=202&tblId=DT_202022_C20&conn_path=I2,context,65,2
1-1-2,KOSIS-117-DT_11777_N120,사회복지지출 비율 (GDP 대비),https://kosis.kr/statHtml/statHtml.do?orgId=117&tblId=DT_11777_N120&conn_path=I2,context,57,3
1-1-2,KOSIS-117-DT_11777_N220,총사회복지지출 비율 (GDP 대비),https://kosis.kr/statHtml/statHtml.do?orgId=117&tblId=DT_11777_N220&conn_path=I2,context,57,4
1-2-2,KOSIS-331-DT_33109_N065,고용보험 가입 실태,https://kosis.kr/statHtml/statHtml.do?orgId=331&tblId=DT_33109_N065&conn_path=I2,context,67,1
1-2-2,KOSIS-331-DT_33109_N066,고용보험 급여 수급경험,https://kosis.kr/statHtml/statHtml.do?orgId=331&tblId=DT_33109_N066&conn_path=I2,context,67,2
1-2-2,KOSIS-331-DT_33109_N068,고용보험급여 연간 수급 개월 수 및 수급액,https://kosis.kr/statHtml/statHtml.do?orgId=331&tblId=DT_33109_N068&conn_path=I2,context,67,3
1-2-2,KOSIS-322-DT_322001_C013,고용보험 가입현황,https://kosis.kr/statHtml/statHtml.do?orgId=322&tblId=DT_322001_C013&conn_path=I2,context,67,4
1-2-3,KOSIS-331-DT_33109_N044,국민연금 보험료 납부여부,https://kosis.kr/statHtml/statHtml.do?orgId=331&tblId=DT_33109_N044&conn_path=I2,near,92,1
1-2-3,KOSIS-331-TX_33109_A262,현재 국민연금 보험료를 납부하지 않는 이유,https://kosis.kr/statHtml/statHtml.do?orgId=331&tblId=TX_33109_A262&conn_path=I2,near,92,2
1-2-3,KOSIS-101-DT_1SSWE023R,"사회보험료 부담에 대한 인식 (국민연금, 19세 이상 가구주)",https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1SSWE023R&conn_path=I2,near,92,3
1-3-1,KOSIS-117-DT_11777_N120,사회복지지출 비율 (GDP 대비),https://kosis.kr/statHtml/statHtml.do?orgId=117&tblId=DT_11777_N120&conn_path=I2,context,62,1
1-3-1,KOSIS-117-DT_11777_N220,총사회복지지출 비율 (GDP 대비),https://kosis.kr/statHtml/statHtml.do?orgId=117&tblId=DT_11777_N220&conn_path=I2,context,62,2
1-3-1,KOSIS-443-DT_443001_112,GDP 비중,https://kosis.kr/statHtml/statHtml.do?orgId=443&tblId=DT_443001_112&conn_path=I2,context,62,3
1-3-1,KOSIS-113-DT_113_STBL_1024771,콘텐츠산업 : GDP 대비 부가가치액 비중,https://kosis.kr/statHtml/statHtml.do?orgId=113&tblId=DT_113_STBL_1024771&conn_path=I2,context,62,4
1-3-2,KOSIS-101-DT_3KB9027,[사회복지 서비스업] 시도/산업/직능별 종사자 현황,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_3KB9027&conn_path=I2,exact,115,1
1-3-2,KOSIS-101-DT_1KB9027,시도/산업/직능별 종사자 현황(사회복지 서비스업),https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1KB9027&conn_path=I2,exact,115,2
1-3-2,KOSIS-337-DT_337004_2021_E002,신재생에너지 서비스업 현황 - 종사자수,https://kosis.kr/statHtml/statHtml.do?orgId=337&tblId=DT_337004_2021_E002&conn_path=I2,context,75,3
1-3-2,KOSIS-472-DT_472001_A023,성별 정규직 종사자 수,https://kosis.kr/statHtml/statHtml.do?orgId=472&tblId=DT_472001_A023&conn_path=I2,context,69,4
