indicator_id,page_code,page_name,url,match,score,order
1-1-2,IDXN-1525,GDP 대비 공교육비 비율,https://www.index.go.kr/unify/idx-info.do?idxCd=1525,context,30,1
1-1-2,IDXN-4207,수출입비율(GDP 대비),https://www.index.go.kr/unify/idx-info.do?idxCd=4207,context,27,2
1-2-2,IDXN-1507,고용보험 적용 및 징수 현황,https://www.index.go.kr/unify/idx-info.do?idxCd=1507,exact,60,1
1-2-2,IDXN-1508,고용보험 지출현황,https://www.index.go.kr/unify/idx-info.do?idxCd=1508,near,55,2
1-2-2,IDXN-1506,"고용보험 피보험자(상실자, 취득자)현황",https://www.index.go.kr/unify/idx-info.do?idxCd=1506,near,40,3
1-2-3,IDXN-2709,국민연금 수급자 현황,https://www.index.go.kr/unify/idx-info.do?idxCd=2709,near,51,1
1-2-3,IDXN-2764,국민연금 재정현황,https://www.index.go.kr/unify/idx-info.do?idxCd=2764,near,47,2
1-3-1,IDXN-1316,어업 생산액 및 GDP 대비 부가가치 비중,https://www.index.go.kr/unify/idx-info.do?idxCd=1316,context,37,1
1-3-1,IDXN-1525,GDP 대비 공교육비 비율,https://www.index.go.kr/unify/idx-info.do?idxCd=1525,context,32,2
1-3-1,IDXN-4207,수출입비율(GDP 대비),https://www.index.go.kr/unify/idx-info.do?idxCd=4207,context,29,3
1-3-1,IDXN-4209,국가채무비율(GDP 대비),https://www.index.go.kr/unify/idx-info.do?idxCd=4209,context,27,4
1-3-1,IDXN-4210,대외채무비율(GDP 대비),https://www.index.go.kr/unify/idx-info.do?idxCd=4210,context,27,5
1-3-2,IDXN-1053,서비스업 동향,https://www.index.go.kr/unify/idx-info.do?idxCd=1053,near,46,1
1-3-2,IDXN-2759,사회복지 지출규모,https://www.index.go.kr/unify/idx-info.do?idxCd=2759,near,40,2
1-4-2,IDXN-2711,아동 안전사고 현황,https://www.index.go.kr/unify/idx-info.do?idxCd=2711,context,33,1
10-2-2,IDXN-2696,내년 가구의 재정상태,https://www.index.go.kr/unify/idx-info.do?idxCd=2696,context,26,1
10-3-1,IDXN-4212,고용률,https://www.index.go.kr/unify/idx-info.do?idxCd=4212,near,48,1
10-4-1,IDXN-1525,GDP 대비 공교육비 비율,https://www.index.go.kr/unify/idx-info.do?idxCd=1525,context,33,1
10-4-1,IDXN-4207,수출입비율(GDP 대비),https://www.index.go.kr/unify/idx-info.do?idxCd=4207,context,30,2
10-4-1,IDXN-4209,국가채무비율(GDP 대비),https://www.index.go.kr/unify/idx-info.do?idxCd=4209,context,27,3
10-4-1,IDXN-4210,대외채무비율(GDP 대비),https://www.index.go.kr/unify/idx-info.do?idxCd=4210,context,27,4
10-4-1,IDXN-4280,환경산업비율(GDP 대비),https://www.index.go.kr/unify/idx-info.do?idxCd=4280,context,27,5
10-5-2,IDXN-1046,지방자치단체 채무,https://www.index.go.kr/unify/idx-info.do?idxCd=1046,near,55,1
10-5-2,IDXN-1047,지방자치단체 기금,https://www.index.go.kr/unify/idx-info.do?idxCd=1047,near,55,2
10-5-2,IDXN-1042,지방자치단체 공무원 정원,https://www.index.go.kr/unify/idx-info.do?idxCd=1042,near,50,3
