indicator_id,stat_code,match,hits,auto,order
1-1-1,K010,exact,"상대빈곤율,빈곤,소득",TRUE,1
1-1-1,K001,context,인구,TRUE,2
1-1-1,K016,context,장애,TRUE,3
1-1-2,K010,near,"빈곤,소득",TRUE,1
1-1-2,K090,context,GDP대비,TRUE,2
1-1-2,K001,context,인구,TRUE,3
1-1-2,K016,context,장애,TRUE,4
1-1-2,K083,context,GDP,TRUE,5
1-2-1,K013,near,"사회보장,사각지대",TRUE,1
1-2-1,K010,context,빈곤,TRUE,2
1-2-1,K033,context,본인부담,TRUE,3
1-2-2,K015,exact,"고용보험,가입률",TRUE,1
1-2-2,K013,near,"사회보장,사각지대",TRUE,2
1-2-2,K014,near,가입률,TRUE,3
1-2-2,K010,context,빈곤,TRUE,4
1-2-3,K014,exact,"국민연금,연금,납부",TRUE,1
1-2-3,K013,near,"사회보장,사각지대",TRUE,2
1-2-3,K010,context,빈곤,TRUE,3
1-3-1,K013,exact,"사회지출,공적사회지출",TRUE,1
1-3-1,K090,context,GDP대비,TRUE,2
1-3-1,K010,context,빈곤,TRUE,3
1-3-1,K083,context,GDP,TRUE,4
1-3-2,K010,context,빈곤,TRUE,1
1-3-2,K091,context,종사자,TRUE,2
1-4-1,K013,near,복지예산,TRUE,1
1-4-1,K010,context,빈곤,TRUE,2
1-4-1,K132,context,재난,TRUE,3
1-4-1,K081,context,일자리,TRUE,4
1-4-2,K010,context,빈곤,TRUE,1
1-4-2,K132,context,재난,TRUE,2
1-4-2,K030,context,사망률,TRUE,3
1-4-2,K084,context,사고사망,TRUE,4
1-4-2,K114,context,사고사망,TRUE,5
10-1-1,K001,near,"인구,가구",TRUE,1
10-1-1,K003,context,인구,TRUE,2
10-1-1,K010,context,소득,TRUE,3
10-1-2,K010,context,소득,TRUE,1
10-1-2,K001,context,인구,TRUE,2
10-1-2,K003,context,인구,TRUE,3
10-2-1,K010,exact,"소득,5분위배율",TRUE,1
10-2-1,K100,near,소득5분위배율,TRUE,2
10-2-1,K016,context,장애,TRUE,3
10-2-1,K102,context,포용,TRUE,4
10-2-2,K010,near,"소득,자산",TRUE,1
10-2-2,K001,context,가구,TRUE,2
10-2-2,K016,context,장애,TRUE,3
10-2-2,K102,context,포용,TRUE,4
10-3-1,K080,near,고용률,TRUE,1
10-3-1,K001,context,인구,TRUE,2
10-3-1,K003,context,인구,TRUE,3
10-3-1,K016,context,장애,TRUE,4
10-3-1,K102,context,차별,TRUE,5
10-3-2,K016,near,"장애인,장애",TRUE,1
10-3-2,K080,near,고용률,TRUE,2
10-3-2,K102,context,차별,TRUE,3
10-4-1,K010,near,"소득,소득분배",TRUE,1
10-4-1,K100,near,소득분배,TRUE,2
10-4-1,K090,context,GDP대비,TRUE,3
10-4-1,K082,context,임금,TRUE,4
10-4-1,K083,context,GDP,TRUE,5
10-5-1,K101,exact,"이주민,외국인,이민",TRUE,1
10-5-2,K101,near,"외국인,이민",TRUE,1
10-5-3,K101,exact,"외국인,다문화,이민",TRUE,1
10-5-3,K102,near,다문화수용성,TRUE,2
10-5-4,K101,exact,"외국인,다문화,이민",TRUE,1
11-1-1,K110,exact,"주거,최저주거기준",TRUE,1
11-1-1,K001,near,"가구,주택",TRUE,2
11-1-1,K111,context,주택,TRUE,3
11-1-2,K111,near,"주택,공공임대",TRUE,1
11-1-2,K001,context,주택,TRUE,2
11-1-2,K110,context,주거,TRUE,3
11-1-3,K001,near,"가구,주택",TRUE,1
11-1-3,K110,context,주거,TRUE,2
11-1-3,K111,context,주택,TRUE,3
11-1-3,K012,context,주거급여,TRUE,4
11-2-1,K113,exact,"대중교통,수단분담률",TRUE,1
11-2-1,K093,context,교통,TRUE,2
11-2-1,K002,context,노인,TRUE,3
11-2-2,K113,near,"버스,저상버스",TRUE,1
11-2-2,K002,context,노인,TRUE,2
11-2-2,K093,context,교통,TRUE,3
11-2-2,K060,context,보급률,TRUE,4
11-2-2,K071,context,보급률,TRUE,5
11-2-3,K113,exact,"수단분담률,자전거",TRUE,1
11-2-3,K002,context,노인,TRUE,2
11-2-3,K093,context,교통,TRUE,3
11-3-1,K112,near,시가화,TRUE,1
11-3-1,K110,context,주거,TRUE,2
11-3-2,K110,context,주거,TRUE,1
11-4-1,K115,exact,"세계유산,등재,보존",TRUE,1
11-4-2,K115,exact,"세계유산,등재,보존",TRUE,1
11-5-1,K001,context,인구,TRUE,1
11-5-1,K003,context,인구,TRUE,2
11-5-1,K132,context,재난,TRUE,3
11-5-2,K132,exact,"자연재해,피해액,재난",TRUE,1
11-6-1,K140,near,"미세먼지,대기질",TRUE,1
11-6-1,K120,context,폐기물,TRUE,2
11-6-2,K140,exact,"미세먼지,초미세먼지,대기질",TRUE,1
11-6-2,K120,context,폐기물,TRUE,2
11-6-3,K120,exact,"폐기물,사업장폐기물",TRUE,1
11-6-3,K140,context,대기질,TRUE,2
11-7-1,K112,near,"공원,녹지",TRUE,1
11-7-1,K002,context,고령,TRUE,2
11-7-1,K083,context,1인당,TRUE,3
11-7-2,K112,near,"공원,녹지",TRUE,1
11-7-2,K001,context,인구,TRUE,2
11-7-2,K003,context,인구,TRUE,3
11-7-2,K002,context,고령,TRUE,4
12-1-1,K121,near,자원순환,TRUE,1
12-1-2,K202,context,기본계획 수립,TRUE,1
12-10-1,K125,near,"관광,생태관광",TRUE,1
12-11-1,K083,near,GDP,TRUE,1
12-11-1,K090,context,GDP대비,TRUE,2
12-2-1,K083,near,1인당,TRUE,1
12-2-2,K121,near,물질흐름,TRUE,1
12-3-1,K120,context,폐기물,TRUE,1
12-3-2,K083,near,1인당,TRUE,1
12-3-2,K120,near,폐기물,TRUE,2
12-4-1,K123,exact,"화학물질,유해성",TRUE,1
12-4-1,K120,context,폐기물,TRUE,2
12-4-2,K123,near,화학물질,TRUE,1
12-4-2,K120,context,폐기물,TRUE,2
12-4-3,K083,near,1인당,TRUE,1
12-4-3,K120,near,폐기물,TRUE,2
12-4-3,K123,context,화학물질,TRUE,3
12-5-1,K120,exact,"폐기물,생활폐기물,재활용",TRUE,1
12-5-1,K121,near,재활용률,TRUE,2
12-5-2,K120,exact,"폐기물,재활용",TRUE,1
12-6-1,K124,exact,"지속가능경영,보고서 발간",TRUE,1
12-6-2,K124,context,지속가능경영,TRUE,1
12-7-1,K122,near,"녹색제품,녹색구매",TRUE,1
12-7-2,K122,near,"녹색제품,녹색구매",TRUE,1
12-8-1,K190,exact,"환경교육,환경교육 수혜,교육 수혜자",TRUE,1
12-8-2,K191,near,환경의식,TRUE,1
12-8-2,K190,context,환경교육,TRUE,2
12-9-1,K083,near,1인당,TRUE,1
12-9-1,K120,context,재활용,TRUE,2
12-9-2,K120,exact,"폐기물,재활용",TRUE,1
12-9-2,K121,near,재활용률,TRUE,2
13-1-1,K132,near,"자연재해,방재",TRUE,1
13-1-1,K131,context,기후변화,TRUE,2
13-2-1,K131,near,기후변화,TRUE,1
13-2-1,K133,near,지자체,TRUE,2
13-2-1,K202,context,기본계획 수립,TRUE,3
13-2-2,K133,near,지자체,TRUE,1
