indicator_id,target_id,indicator_name,definition,method,unit,direction,baseline_year,baseline_value,target_year,target_value,long_year,long_value,target_label,long_label,kind,source_page,source,source_url,update_cycle,custodian,status_override,is_headline,display,note,order
1-1-1,1-1,중위 가처분소득 50% 기준 상대빈곤율,,,%,down,2018,16.7,2030,14.3,2040,11.8,14.3%,11.8%,정량,14,제4차 지속가능발전 기본계획,,,보건복지부,,TRUE,TRUE,제4차 지속가능발전 기본계획 p.14,1
1-1-2,1-1,복지 급여(소득보장) 예산 및 GDP 대비 비율,,,%,up,2018,0.97,2030,1,2040,1.5,1.0% 이상,1.5% 이상,정량,14,제4차 지속가능발전 기본계획,,,보건복지부,,TRUE,TRUE,제4차 지속가능발전 기본계획 p.14,2
1-2-1,1-2,의료비 가계직접 본인부담률,,,%,down,2018,36.2,2030,30,2040,25,30.0%,25.0%,정량,16,제4차 지속가능발전 기본계획,,,보건복지부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.16,3
1-2-2,1-2,고용보험 가입률,,,%,down,2019,90.3,2030,90,2040,99,90.0%,99.0%,정량,16,제4차 지속가능발전 기본계획,,,보건복지부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.16,4
1-2-3,1-2,국민연금 보험료 납부율,,,%,up,2018,78.6,2030,82.5,2040,84.2,82.5%,84.2%,정량,16,제4차 지속가능발전 기본계획,,,보건복지부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.16,5
1-3-1,1-3,GDP 대비 공적사회 지출 비중,,,%,up,2018,11.1,2030,15,2040,20,15.0%,20.0%,정량,17,제4차 지속가능발전 기본계획,,,보건복지부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.17,6
1-3-2,1-3,사회복지 서비스업 종사자 비중,,,%,up,2015,3,2030,5.1,2040,6.5,5.1%,6.5%,정량,17,제4차 지속가능발전 기본계획,,,보건복지부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.17,7
1-4-1,1-4,취약계층 긴급복지지원 예산 및 비율 ※ 긴급복지 예산 = 긴급복지 지원금+ 일자리사업,,,,up,2018,,2030,,2040,,GDP대비 0.008%,GDP대비 0.009%,정성,19,제4차 지속가능발전 기본계획,,,,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.19,8
1-4-2,1-4,안전취약계층의 안전사고 사망률의 비중,,,,down,,,2030,,2040,,지속 감소,지속 감소,정성,19,제4차 지속가능발전 기본계획,,,,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.19,9
10-1-1,10-1,전체 인구의 균등화한 가구소득 대비 소득하위 40% 인구의 균등화한 가구소득의 비율,,,%,up,2018,46,2030,50,2040,55,50.0%,55.0%,정량,185,제4차 지속가능발전 기본계획,,,보건복지부·기획재정부,,TRUE,TRUE,제4차 지속가능발전 기본계획 p.185,10
10-1-2,10-1,소득격차비율,,,%,down,2018,34.2,2030,30,2040,28,30.0%,28.0%,정량,185,제4차 지속가능발전 기본계획,,,보건복지부·기획재정부,,TRUE,TRUE,제4차 지속가능발전 기본계획 p.185,11
10-2-1,10-2,소득 5분위 배율,,,,down,2017,5.1,2030,,2040,,안정적 유지,안정적 유지,정성,187,제4차 지속가능발전 기본계획,,,보건복지부·고용노동부·기획재정부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.187,12
10-2-2,10-2,"소득 1, 2분위 가구의 순자산 점유율",,,%,down,2019,17.9,2030,,2040,,지속 감소,지속 감소,정성,187,제4차 지속가능발전 기본계획,,,보건복지부·고용노동부·기획재정부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.187,13
10-3-1,10-3,인구집단별 고용률,,,,up,2019,,2030,,2040,,(여성) 62.0% (장애인) 지속 확대,(여성) 67.0% (장애인) 지속 확대,정성,191,제4차 지속가능발전 기본계획,,,보건복지부·고용노동부·기획재정부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.191,14
10-3-2,10-3,장애인의무고용률,,,%,up,2019,3.1,2030,,2040,,지속 확대,지속 확대,정성,191,제4차 지속가능발전 기본계획,,,보건복지부·고용노동부·기획재정부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.191,15
10-4-1,10-4,GDP 대비 노동소득 분배율,,,%,up,2017,53.8,2030,56,2040,57,56.0%,57.0%,정량,193,제4차 지속가능발전 기본계획,,,고용노동부·기획재정부·중소벤처기업부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.193,16
10-5-1,10-5,이주민 권리보장에 관한 국제/국내 인권기구 권고에 대한 적극적 수용,,,,up,2018,,2030,,2040,,(국제) 50.0% (국내) 100.0%,(국제) 100.0% (국내) 100.0% 유지,정성,197,제4차 지속가능발전 기본계획,,,법무부·여성가족부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.197,17
10-5-2,10-5,지방자치단체 외국인 주민 통합조례 제정률,,,%,up,,,2030,100,2040,100,100%,100% 유지,정량,197,제4차 지속가능발전 기본계획,,,법무부·여성가족부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.197,18
10-5-3,10-5,국민 다문화 수용성 지표,,,,up,2018,,2030,,2040,,(일반국민) 70점 (청소년) 80점,(일반국민) 80점 (청소년) 90점,정성,197,제4차 지속가능발전 기본계획,,,법무부·여성가족부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.197,19
10-5-4,10-5,지방자치단체 공무원 이민/다문화 교육 이수율,현재 통계 미구축,,%,up,,,2030,70,2040,100,70.0%,100.0%,정량,197,제4차 지속가능발전 기본계획,,,법무부·여성가족부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.197 · 현재 통계 미구축,20
11-1-1,11-1,최저주거기준 미달가구 비율,,,%,down,2019,5.3,,,,,,,모니터링,113,제4차 지속가능발전 기본계획,,,국토교통부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.113,21
11-1-2,11-1,공공임대주택 공급호수,,,만호,up,2018,2.99,,,,,,,모니터링,113,제4차 지속가능발전 기본계획,,,국토교통부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.113,22
11-1-3,11-1,주거급여 수급가구(만호) 및 재정 집행액,,,만,up,2019,119,,,,,,,모니터링,113,제4차 지속가능발전 기본계획,,,국토교통부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.113,23
11-2-1,11-2,대중교통 수단분담률,,,%,up,2016,44.6,,,,,,,모니터링,115,제4차 지속가능발전 기본계획,,,국토교통부·행정안전부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.115,24
11-2-2,11-2,저상버스 보급률,,,%,up,2018,23.4,,,,,,,모니터링,115,제4차 지속가능발전 기본계획,,,국토교통부·행정안전부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.115,25
11-2-3,11-2,자전거 수단분담률,,,%,up,2015,1.43,,,,,,,모니터링,115,제4차 지속가능발전 기본계획,,,국토교통부·행정안전부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.115,26
11-3-1,11-3,시가화구역 내 이용토지면적 비율,구축 통계 없음 · 목표치 설정 불가 (통계 미구축),,,up,,,,,,,,,통계미구축,117,제4차 지속가능발전 기본계획,,,국토교통부·행정안전부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.117 · 구축 통계 없음 · 목표치 설정 불가 (통계 미구축),27
11-3-2,11-3,시민참여 활성화 예산율,구축 통계 없음 · 목표치 설정 불가 (통계 미구축),,,up,,,,,,,,,통계미구축,117,제4차 지속가능발전 기본계획,,,국토교통부·행정안전부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.117 · 구축 통계 없음 · 목표치 설정 불가 (통계 미구축),28
11-4-1,11-4,세계유산 등재건수,,,건,up,2019,1,,,,,,,모니터링,118,제4차 지속가능발전 기본계획,,,문화재청,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.118,29
11-4-2,11-4,세계유산등재 및 보존관리 예산,,,백만원,up,2020,45253,,,,,,,모니터링,118,제4차 지속가능발전 기본계획,,,문화재청,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.118,30
11-5-1,11-5,인구 십만 명당 사회재난으로 인한 사망･실종인구,,,명,down,2019,0.13,2030,0.1,2040,0.1,0.1명 이하,0.1명 이하,정량,122,제4차 지속가능발전 기본계획,,,행정안전부·국토교통부,,TRUE,TRUE,제4차 지속가능발전 기본계획 p.122,31
11-5-2,11-5,자연재해로 인한 피해액 대비 국가복구예산액,,,%,down,2019,623.8,2030,,2040,,일정 비율 유지,일정 비율 유지,정성,122,제4차 지속가능발전 기본계획,,,행정안전부·국토교통부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.122,32
11-6-1,11-6,미세먼지 나쁨일수,,,,down,2018,59,,,,,,,모니터링,126,제4차 지속가능발전 기본계획,,,환경부·산업통상자원부·행정안전부·해양수산부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.126,33
11-6-2,11-6,연평균 초미세먼지 농도,,,㎍/㎥,down,2017,25.14,,,,,,,모니터링,126,제4차 지속가능발전 기본계획,,,환경부·산업통상자원부·행정안전부·해양수산부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.126,34
11-6-3,11-6,생활 및 사업장폐기물 발생량,,,,down,2018,,2030,,2040,,지속 감소,지속 감소,정성,126,제4차 지속가능발전 기본계획,,,환경부·산업통상자원부·행정안전부·해양수산부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.126,35
11-7-1,11-7,1인당 도시공원 면적,,,㎥,up,2018,10.1,,,,,,,모니터링,128,제4차 지속가능발전 기본계획,,,환경부·국토교통부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.128,36
11-7-2,11-7,공원시설 접근이 용이한 인구 비중,,,%,up,2019,42.8,,,,,,,모니터링,128,제4차 지속가능발전 기본계획,,,환경부·국토교통부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.128,37
12-1-1,12-1,자원순환기본계획 및 자원순환시행계획 수립 건수,관련 통계 미구축,,건,up,,,2030,18,2040,18,18건,18건 유지,정량,207,제4차 지속가능발전 기본계획,,,기획재정부·환경부·산업통상자원부·중소벤처기업부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.207 · 관련 통계 미구축,38
12-1-2,12-1,국가 지속가능생산･ 소비기본계획 수립 여부,없음,,,up,,,2030,,2040,,기반 마련,수립,정성,207,제4차 지속가능발전 기본계획,,,기획재정부·환경부·산업통상자원부·중소벤처기업부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.207 · 없음,39
12-10-1,12-10,지속가능관광의 참여자수,생태관광운영평가 보고서를 확인하여 수치 산출 필요,,,up,,,2030,,2040,,(방문자수) 오백만 명 (해설사) 오천 명,(방문자수) 칠백만 명 (해설사) 칠천 명,정성,227,제4차 지속가능발전 기본계획,,,환경부·문화체육관광부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.227 · 생태관광운영평가 보고서를 확인하여 수치 산출 필요,40
12-11-1,12-11,GDP 대비 화석연료 보조금 비율,,,%,down,2018,0.21,2030,0.1,2040,0,0.10%,0.00%,정량,228,제4차 지속가능발전 기본계획,,,산업통상자원부,,TRUE,TRUE,제4차 지속가능발전 기본계획 p.228,41
12-2-1,12-2,국내 1인당 자원소비량,,,,up,2016,12.8,2030,13,2040,13.4,13.0(톤/인),13.4(톤/인),정량,209,제4차 지속가능발전 기본계획,,,환경부·산업통상자원부,,TRUE,TRUE,제4차 지속가능발전 기본계획 p.209,42
12-2-2,12-2,물질흐름통계(MFA) 구축 대상 자원수,,,개,up,2019,24,2030,100,2040,100,100개,100개,정량,209,제4차 지속가능발전 기본계획,,,환경부·산업통상자원부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.209,43
12-3-1,12-3,식품손실지수,현재 통계치 없음,,,down,,,2030,,2040,,지속 감소,지속 감소,정성,210,제4차 지속가능발전 기본계획,,,환경부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.210 · 현재 통계치 없음,44
12-3-2,12-3,1인당 식품폐기물 발생량,,,kg/인･일,down,2018,0.28,2030,0.23,2040,0.21,0.23kg/인･일,0.21kg/인･일,정량,210,제4차 지속가능발전 기본계획,,,환경부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.210,45
12-4-1,12-4,화학물질의 유해성 정보 확보율,현재 수치 산출 필요,,%,up,,,2030,70,2040,100,70%,100.0%,정량,212,제4차 지속가능발전 기본계획,,,환경부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.212 · 현재 수치 산출 필요,46
12-4-2,12-4,사고대비 화학물질 수,,,개,up,2019,97,2030,140,2040,200,140개,200개,정량,212,제4차 지속가능발전 기본계획,,,환경부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.212,47
12-4-3,12-4,1인당 유해폐기물 발생량,,,kg/인･년,down,2018,109.6,2030,90,2040,80,90kg/인･년,80kg/인･년,정량,212,제4차 지속가능발전 기본계획,,,환경부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.212,48
12-5-1,12-5,생활폐기물의 재활용률,,,%,up,2018,62,2030,68,2040,75,68.0%,75.0%,정량,215,제4차 지속가능발전 기본계획,,,환경부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.215,49
12-5-2,12-5,사업장배출시설계폐기물 재활용 비율,,,%,up,2018,81.6,2030,85,2040,90,85.0%,90.0%,정량,215,제4차 지속가능발전 기본계획,,,환경부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.215,50
12-6-1,12-6,지속가능경영보고서 발간 기업 수,,,개,up,2017,108,2030,200,2040,400,200개,400개,정량,217,제4차 지속가능발전 기본계획,,,산업통상자원부·중소벤처기업부,,FALSE,TRUE,제4차 지속가능발전 기본계획 p.217,51
