seq,kind,plan_name,law,article,edition,period,cycle,ministry,confidence,has_doc,doc_file,doc_size,doc_note,remark,source_url,note,display,order
1,본번,구조ㆍ구급 기본계획,「119구조ㆍ구급에 관한 법률」,제6조제1항,차수없음,,5년,소방청,참고,TRUE,/plans/구조ㆍ구급 기본계획.pdf,903477,,차수를 붙이지 않는 계획,https://upload.wikimedia.org/wikipedia/commons/5/50/2018년_소방청_주요업무계획.pdf,2018.1 기본계획 수립 확인. 차수·계획기간 표기 미확인. 5년 주기,TRUE,1
2,본번,가족친화 사회환경 조성 기본계획,「가족친화 사회환경의 조성 촉진에 관한 법률」,제5조제1항,,,5년,여성가족부,미확인,TRUE,/plans/가족친화 사회환경 조성 기본계획.pdf,527784,,,,5년 주기. 차수 미확인,TRUE,2
3,본번,가축분뇨의 관리에 관한 기본계획,「가축분뇨의 관리 및 이용에 관한 법률」,제5조제1항,제2차,2026~2035,10년,환경부(기후에너지환경부),확인,TRUE,/plans/가축분뇨의 관리에 관한 기본계획_제2차.pdf,61050,,,https://www.me.go.kr/home/web/board/read.do?boardId=1727570,"시·도지사 수립, 10년 주기",TRUE,3
4,본번,감염병의 예방 및 관리에 관한 기본계획,「감염병의 예방 및 관리에 관한 법률」,제7조제1항,제3차,2023~2027,5년,질병관리청,확인,TRUE,/plans/감염병의 예방 및 관리에 관한 기본계획_제3차.pdf,1283269,,,https://www.kdca.go.kr/kdca/3243/subview.do,,TRUE,4
5,본번,갯벌등의 관리 및 복원에 관한 기본계획,「갯벌 및 그 주변지역의 지속가능한 관리와 복원에 관한 법률」,제7조제1항,제2차,2026~2030,5년,해양수산부,확인,TRUE,/plans/갯벌등의 관리 및 복원에 관한 기본계획_제2차.pdf,2969681,,,https://www.mof.go.kr/doc/ko/selectDoc.do?docSeq=65968,,TRUE,5
6,본번,건강가정기본계획,「건강가정기본법」,제15조제1항,제5차,2026~2030,5년,성평등가족부(구 여성가족부),확인,TRUE,/plans/건강가정기본계획_제5차.pdf,6628403,,,https://www.newspim.com/news/view/20260609000675,2026.6.9 확정. 직전 제4차(2021~2025),TRUE,6
7,본번,건설기술진흥 기본계획,「건설기술 진흥법」,제3조제1항,제7차,2023~2027,5년,국토교통부,확인,TRUE,/plans/건설기술진흥 기본계획_제7차.pdf,1278007,,,https://www.codil.or.kr/filebank/files/202401/helpdesk/BBS_202401021259086030.pdf,,TRUE,7
8,본번,건설산업진흥 기본계획,「건설산업기본법」,제6조제1항,제6차,2023~2027,5년,국토교통부,확인,FALSE,,,,,https://www.molit.go.kr/portal/common/download/DownloadMltm2.jsp,,TRUE,8
9,본번,건축정책에 관한 기본계획,「건축기본법」,제10조제1항,제3차,2021~2025,5년,국토교통부·국가건축정책위원회,확인,TRUE,/plans/건축정책에 관한 기본계획_제3차.pdf,6138004,,계획기간 만료(2025년) — 후속 차수 미확인,https://pcap.go.kr/board/B0023.cs?act=read&bwrId=1624,제4차 발표 여부 재확인 필요,TRUE,9
10,본번,검역관리 기본계획,「검역법」,제4조의2제1항,제1차,2023~2027,5년,질병관리청,확인,TRUE,/plans/검역관리 기본계획_제1차.pdf,3595640,,,https://nqs.kdca.go.kr/nqs/quaInfo.do?gubun=law&subGubun=law,검역법 제4조의2. 5년 주기,TRUE,10
11,본번,경제자유구역기본계획,「경제자유구역의 지정 및 운영에 관한 특별법」,제3조의2제1항,제3차,2023~2032,5년,산업통상자원부,확인,FALSE,,,,,https://motie.go.kr,2023.12.29 고시,TRUE,11
12,본번,고령자의 고용촉진에 관한 기본계획,「고용상 연령차별금지 및 고령자고용촉진에 관한 법률」,제4조의3제1항,제4차,2023~2027,5년,고용노동부,확인,TRUE,/plans/고령자의 고용촉진에 관한 기본계획_제4차.pdf,1840825,,,https://www.moel.go.kr/policy/policydata/view.do?bbs_seq=20230200265,,TRUE,12
13,본번,국가의 고용정책에 관한 기본계획,「고용정책 기본법」,제8조제1항,제5차,2023~2027,5년,고용노동부,확인,FALSE,,,,,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156549834,,TRUE,13
14,본번,공공보건의료 기본계획,「공공보건의료에 관한 법률」,제4조제1항,제2차,2021~2025,5년,보건복지부,참고,TRUE,/plans/공공보건의료 기본계획_제2차.pdf,4411163,,계획기간 만료(2025년) — 후속 차수 미확인 · 확정본 미확인,https://www.mohw.go.kr/board.es?mid=a10401000000,제3차(2026~2030)는 2025.5 기초연구 단계 - 확정 미확인,TRUE,14
15,본번,공공외교 기본계획,「공공외교법」,제6조제1항,제3차,2026~2030,5년,외교부,확인,TRUE,/plans/공공외교 기본계획_제3차.pdf,447561,,,https://nsp.nanet.go.kr/plan/subject/detail.do?nationalPlanControlNo=PLAN0000057611,2025.11.13 확정,TRUE,15
16,본번,공공폐자원관리시설의 설치 및 운영 기본계획,「공공폐자원관리시설의 설치ㆍ운영 및 주민지원 등에 관한 특별법」,제5조제1항,제1차,2021~,미확인,환경부,참고,FALSE,,,,법령에 수립주기 규정 없음,https://me.go.kr/home/web/board/read.do?boardId=1461130,"2021.6 수립, 차수 표기 없음",TRUE,16
17,본번,공유수면매립 기본계획,「공유수면 관리 및 매립에 관한 법률」,제22조제1항,제4차,2021~2030,10년,해양수산부,확인,TRUE,/plans/공유수면매립 기본계획_제4차.pdf,475927,,,https://www.mof.go.kr/doc/ko/selectDoc.do?docSeq=36314,10년 주기. 2025.6 변경계획,TRUE,17
18,본번,과학기술기본계획,「과학기술기본법」,제7조제2항,제5차,2023~2027,5년,과학기술정보통신부,확인,TRUE,/plans/과학기술기본계획_제5차.pdf,986619,,,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156542589,,TRUE,18
19,본번,관광진흥에 관한 기본계획,「관광기본법」,제3조제1항,제6차,2023~2027,5년,문화체육관광부,확인,TRUE,/plans/관광진흥에 관한 기본계획_제6차.pdf,222796,,,https://www.korea.kr/briefing/policyBriefingView.do?newsId=156541994,2022.12 제7차 국가관광전략회의 의결. 관광진흥기본계획,TRUE,19
20,본번,관광개발기본계획,「관광진흥법」,제49조제1항,제4차,2022~2031,10년,문화체육관광부,확인,TRUE,/plans/관광개발기본계획_제4차.pdf,1020269,,수립 후 5년마다 타당성 검토 규정,https://www.aurum.re.kr/Legal/LegalSub.aspx?pcode=G02,,TRUE,20
21,본번,광업에 대한 기본계획,「광업법」,제85조,,,5년,산업통상자원부,미확인,TRUE,/plans/광업에 대한 기본계획.pdf,2275316,,,,광업법상 임의규정('수립할 수 있다'). 최근 수립 근거 못 찾음,TRUE,21
