code,scenario_code,name,unit,kind,sdg_primary,sdg_secondary,direction,strength,badge,confidence,headline,series_name,series,series_alt,method,order
S01-D1,S01,총인구,만 명,direct,11,"8,10",negative,strong,R,high,"5,167만(2022) → 3,622만(2072)",중위(기본),"[{""y"":2022,""v"":5167,""b"":""R"",""c"":""high""},{""y"":2030,""v"":5131,""b"":""R"",""c"":""high""},{""y"":2040,""v"":5006,""b"":""R"",""c"":""mid""},{""y"":2050,""v"":4711,""b"":""R"",""c"":""mid""},{""y"":2060,""v"":4262,""b"":""R"",""c"":""mid""},{""y"":2072,""v"":3622,""b"":""R"",""c"":""high""}]","[{""name"":""저위"",""points"":[{""y"":2022,""v"":5167},{""y"":2040,""v"":4879},{""y"":2050,""v"":4478},{""y"":2072,""v"":3017}]},{""name"":""고위"",""points"":[{""y"":2022,""v"":5167},{""y"":2040,""v"":5134},{""y"":2050,""v"":4949},{""y"":2072,""v"":4282}]}]","{""definition"":""7월 1일 기준 대한민국 총인구(외국인 포함 상주인구). 단위는 만 명."",""sources"":[{""title"":""장래인구추계: 2022~2072년"",""org"":""통계청"",""year"":2023,""url"":""https://kostat.go.kr/board.es?mid=a10301020600&bid=207&act=view&list_no=428476""},{""title"":""총인구 5000만 2045년 깨진다…2072년 3622만명"",""org"":""뉴스1(보도자료 인용)"",""year"":2023,""url"":""https://www.news1.kr/economy/population-statistics/5261144""}],""steps"":[""통계청 코호트요인법 추계 결과표에서 중위·저위·고위 시나리오의 연도별 총인구를 그대로 옮겼습니다."",""가공·재계산을 하지 않았으므로 모든 시점이 R(보고서 수록) 배지입니다."",""2022·2030·2072년 값은 보도자료 원문에서 직접 확인했고, 2040·2050·2060년 값은 2차 인용 경로로 확인해 신뢰도를 '중'으로 낮췄습니다.""],""assumptions"":[""시나리오별 출생·사망·이동 가정은 통계청 공표 가정을 그대로 적용(별도 조정 없음)""],""limits"":""2023년 12월 공표본입니다. 통계청은 2~3년 주기로 추계를 갱신하므로 차기 추계에서 하향 조정될 가능성이 있습니다. 실제 2024년 합계출산율(0.748)은 중위 가정보다 높게 나와 단기적으로는 추계가 다소 보수적이었습니다."",""badge_reason"":""공식 보도자료의 표 값을 가공 없이 인용했으므로 R. 원문에서 직접 확인한 시점만 신뢰도 '상'.""}",1
S01-D2,S01,65세 이상 인구 비중,%,direct,3,"1,10",negative,strong,R,high,"17.4%(2022) → 47.7%(2072), 인구 절반이 고령자",,"[{""y"":2022,""v"":17.4,""b"":""R"",""c"":""high""},{""y"":2025,""v"":20.3,""b"":""R"",""c"":""high""},{""y"":2030,""v"":25.5,""b"":""R"",""c"":""mid""},{""y"":2040,""v"":34.4,""b"":""R"",""c"":""mid""},{""y"":2050,""v"":40.1,""b"":""R"",""c"":""high""},{""y"":2060,""v"":43.8,""b"":""R"",""c"":""mid""},{""y"":2072,""v"":47.7,""b"":""R"",""c"":""high""}]",,"{""definition"":""총인구 중 65세 이상 인구가 차지하는 비율(%). 20% 초과 시 '초고령사회'로 분류합니다."",""sources"":[{""title"":""장래인구추계: 2022~2072년"",""org"":""통계청"",""year"":2023,""url"":""https://www.korea.kr/briefing/policyBriefingView.do?newsId=156605259""},{""title"":""잠재성장률 전망과 정책적 시사점(고령인구 2025년 20.3%→2050년 40.1%)"",""org"":""KDI"",""year"":2025,""url"":""https://www.kdi.re.kr/research/analysisView?art_no=3671""}],""steps"":[""통계청 추계의 연령구조 표에서 65세 이상 구성비를 인용했습니다."",""2025년 20.3%, 2050년 40.1%는 KDI 보고서가 통계청 추계를 인용해 제시한 값과 교차 확인했습니다.""],""assumptions"":[""기대수명 상승 가정이 유지되고 대규모 이민정책 전환이 없다고 전제""],""limits"":""이 지표는 이미 태어난 세대가 나이드는 결과이므로 출산율 가정 변화에 둔감합니다. 다만 대규모 청년 이민 유입이 현실화되면 분모가 커져 비중이 낮아질 수 있습니다."",""badge_reason"":""공식 추계 표의 구성비를 그대로 인용, R.""}",2
S01-D3,S01,생산연령인구(15~64세),만 명,direct,8,"9,10",negative,strong,R,mid,"2019년 3,763만 정점 → 2072년 1,658만 (−56%)",,"[{""y"":2019,""v"":3763,""b"":""R"",""c"":""high""},{""y"":2022,""v"":3674,""b"":""R"",""c"":""mid""},{""y"":2030,""v"":3417,""b"":""R"",""c"":""mid""},{""y"":2040,""v"":2852,""b"":""R"",""c"":""mid""},{""y"":2050,""v"":2444,""b"":""R"",""c"":""mid""},{""y"":2060,""v"":2005,""b"":""E"",""c"":""low""},{""y"":2072,""v"":1658,""b"":""R"",""c"":""mid""}]",,"{""definition"":""15~64세 인구. 노동공급의 상한을 규정하는 변수로, 잠재성장률(S07) 계산의 노동투입 항목과 직결됩니다."",""sources"":[{""title"":""장래인구추계: 2022~2072년"",""org"":""통계청"",""year"":2023,""url"":""https://kostat.go.kr/board.es?mid=a10301020600&bid=207&act=view&list_no=428476""},{""title"":""잠재성장률 전망과 정책적 시사점(생산연령인구 2019년 3,763만 정점)"",""org"":""KDI"",""year"":2025,""url"":""https://www.kdi.re.kr/research/analysisView?art_no=3671""}],""steps"":[""통계청 추계 연령별 인구표의 15~64세 합계를 인용했습니다."",""2060년 값만 공표 시점을 확인하지 못해, 2050년과 2072년 사이를 지수 보간(M3)해 채우고 E 배지를 부여했습니다."",""보간식: V(2060) = 2444 × (1658/2444)^((2060−2050)/(2072−2050)) = 2,005만 명""],""assumptions"":[""2050~2072년 구간의 감소가 일정한 연평균 변화율을 따른다고 가정(M3)""],""limits"":""실제로는 베이비붐 세대의 은퇴 완료 시점(2030년대 초)에 감소가 계단식으로 빨라지므로, 보간값은 2060년 전후에서 수백만 명 단위 오차가 날 수 있습니다."",""badge_reason"":""공표값은 R, 보간한 2060년만 E. 원문 표를 직접 열람하지 못해 전체 신뢰도는 '중'.""}",3
S01-I1,S01,학령인구(6~21세),만 명,indirect,4,"8,10",negative,strong,R,mid,"750만(2022) → 278만(2072), 63% 감소",,"[{""y"":2022,""v"":750,""b"":""R"",""c"":""high""},{""y"":2030,""v"":594,""b"":""E"",""c"":""low""},{""y"":2040,""v"":413,""b"":""R"",""c"":""high""},{""y"":2050,""v"":350,""b"":""E"",""c"":""low""},{""y"":2060,""v"":312,""b"":""E"",""c"":""low""},{""y"":2072,""v"":278,""b"":""R"",""c"":""high""}]",,"{""definition"":""초등학교~대학교 취학 연령대에 해당하는 6~21세 인구. SDG4(양질의 교육)의 교육 인프라 수요를 규정합니다."",""sources"":[{""title"":""장래인구추계: 2022~2072년 — 학령인구 2022년 750만 명, 2040년까지 337만 명 감소, 2072년 278만 명"",""org"":""통계청"",""year"":2023,""url"":""https://www.korea.kr/briefing/policyBriefingView.do?newsId=156605259""}],""steps"":[""공표된 고정점 3개를 확보했습니다: 2022년 750만, 2040년 750−337=413만, 2072년 278만."",""2030·2050·2060년은 고정점 사이를 지수 보간(M3)했습니다. 예) V(2030)=750×(413/750)^((2030−2022)/(2040−2022))=594만 명."",""보간 구간은 모두 E 배지, 신뢰도 '하'로 표기했습니다.""],""assumptions"":[""구간 내 감소가 일정 연평균 변화율을 따른다고 가정""],""limits"":""학령인구는 출생아 수의 16년 지연 반영이므로 2040년까지는 이미 확정적이지만, 2050년 이후는 출산율 가정에 직접 좌우돼 저위 시나리오에서는 더 급감합니다. 보간값을 학교 통폐합 계획 등 실무에 그대로 쓰면 안 됩니다."",""badge_reason"":""공표 고정점은 R(상), 보간점은 E(하). 지표 전체 대표 배지는 R, 신뢰도는 '중'으로 절충.""}",4
S01-I2,S01,노년부양비,생산연령 100명당 명,indirect,10,"1,8",negative,strong,R,mid,"24.4명(2022) → 104.2명(2072), 일하는 1명이 노인 1명 부양",,"[{""y"":2022,""v"":24.4,""b"":""R"",""c"":""high""},{""y"":2030,""v"":38.6,""b"":""R"",""c"":""mid""},{""y"":2040,""v"":60.5,""b"":""S"",""c"":""mid""},{""y"":2050,""v"":77.3,""b"":""S"",""c"":""mid""},{""y"":2060,""v"":93.1,""b"":""S"",""c"":""low""},{""y"":2072,""v"":104.2,""b"":""R"",""c"":""high""}]",,"{""definition"":""생산연령인구(15~64세) 100명이 부양해야 하는 65세 이상 인구 수. 연금·건강보험 등 사회보험의 지속가능성을 가장 직접적으로 보여주는 지표입니다."",""sources"":[{""title"":""장래인구추계: 2022~2072년(2072년 노년부양비 104.2명)"",""org"":""통계청"",""year"":2023,""url"":""https://www.korea.kr/briefing/policyBriefingView.do?newsId=156605259""}],""steps"":[""2022년(24.4)과 2072년(104.2)은 공표값을 인용했습니다."",""2040·2050·2060년은 같은 추계 내 다른 지표에서 직접 계산했습니다(S 배지): 노년부양비 = (65세 이상 비중 × 총인구) ÷ 생산연령인구 × 100."",""예) 2050년 = (0.401 × 4,711만) ÷ 2,444만 × 100 = 1,889만 ÷ 2,444만 × 100 = 77.3명"",""이 계산은 같은 추계표 내부 값끼리의 연산이므로 외부 가정이 들어가지 않습니다.""],""assumptions"":[""65세 이상 비중과 총인구, 생산연령인구가 모두 동일한 중위 추계에서 나온 값이라는 점(내적 정합성)""],""limits"":""반올림된 구성비(소수 1자리)로 재계산했기 때문에 통계청 공표 노년부양비와 ±1명 내외의 차이가 날 수 있습니다. 2060년은 생산연령인구 자체가 보간값이라 신뢰도가 한 단계 낮습니다."",""badge_reason"":""공표 시점은 R, 내부 값으로 재계산한 시점은 S(계산식 공개).""}",5
S01-I3,S01,65세 이상 건강보험 진료비,조 원(2023년 불변가격),indirect,3,"1,10",negative,strong,E,low,48조 원(2023) → 약 384조 원(2072) 추정 [실질 3% 가정],실질 3% 가정(기본),"[{""y"":2023,""v"":48,""b"":""R"",""c"":""high""},{""y"":2030,""v"":83.9,""b"":""E"",""c"":""low""},{""y"":2040,""v"":148.5,""b"":""E"",""c"":""low""},{""y"":2050,""v"":218.8,""b"":""E"",""c"":""low""},{""y"":2060,""v"":290.7,""b"":""E"",""c"":""low""},{""y"":2072,""v"":383.7,""b"":""E"",""c"":""low""}]","[{""name"":""실질 2% 가정(보수)"",""points"":[{""y"":2023,""v"":48},{""y"":2040,""v"":122},{""y"":2050,""v"":163.1},{""y"":2072,""v"":238.8}]}]","{""definition"":""건강보험 적용 65세 이상 인구의 연간 총 진료비. 인구 고령화가 SDG3(건강)과 재정(S07)에 미치는 압력을 금액으로 환산한 지표입니다."",""sources"":[{""title"":""2023년 건강보험 주요통계 — 총진료비 110조 원, 65세 이상 48조 원(44.1%), 노인 1인당 연평균 진료비 543.4만 원"",""org"":""국민건강보험공단·건강보험심사평가원"",""year"":2024,""url"":""https://www.segye.com/newsView/20241129507513""},{""title"":""장래인구추계 65세 이상 인구 비중"",""org"":""통계청"",""year"":2023,""url"":""https://www.korea.kr/briefing/policyBriefingView.do?newsId=156605259""}],""steps"":[""① 기준연도 원단위 확정: 2023년 노인 1인당 연평균 진료비 543.4만 원(공표값, R)."",""② 미래 65세 이상 인구 산출: 65세 이상 비중(S01-D2) × 총인구(S01-D1). 예) 2050년 = 40.1% × 4,711만 = 1,889만 명."",""③ 건강보험 적용률 96%를 곱해 적용인구로 환산."",""④ 원단위 × 수량법(M1) 적용: 진료비 = 543.4만 원 × 1.03^(t−2023) × 적용인구."",""⑤ 예) 2050년 = 543.4만 × 1.03^27(=2.2213) = 1,207만 원 → 1,207만 원 × 1,813만 명 = 218.8조 원."",""⑥ 검산: 2023년에 같은 식을 적용하면 49.6조 원으로 공표값 48조 원 대비 +3.3% 오차. 이 오차는 전 구간에 동일하게 남습니다.""],""assumptions"":[""1인당 실질 진료비가 연 3.0%씩 증가(2013~2023년 국내 노인 1인당 진료비 실질 증가율 3~5% 구간의 하단을 채택)"",""건강보험 적용률 96% 고정"",""수가체계·본인부담률·비급여 구조에 큰 제도 변화가 없다고 전제""],""limits"":""50년 외삽이라 가정 민감도가 압도적으로 큽니다. 실질 증가율을 2.0%로 낮추면 2072년은 239조 원으로 145조 원(38%)이 줄어듭니다. 이 값은 규모의 자릿수와 증가 방향을 읽는 용도이며, 개별 연도 수치를 인용해서는 안 됩니다. 또한 건강수명 연장으로 고령자 1인당 의료이용이 억제되는 '건강한 고령화' 효과는 반영하지 않아 과대추정 쪽으로 치우칩니다."",""badge_reason"":""기준연도만 R이고 미래 전 구간이 자체 추정이므로 지표 배지는 E, 신뢰도 '하'.""}",6
S01-I4,S01,노인 상대적 빈곤율(66세 이상),%,indirect,1,"10,3",mixed,medium,E,low,"39.7%(2022) → 약 24%(2050) 추정, 그래도 OECD 평균(14.2%)의 1.7배",한국,"[{""y"":2022,""v"":39.7,""b"":""R"",""c"":""high""},{""y"":2030,""v"":34,""b"":""E"",""c"":""low""},{""y"":2040,""v"":28,""b"":""E"",""c"":""low""},{""y"":2050,""v"":24,""b"":""E"",""c"":""low""}]","[{""name"":""OECD 평균(참조선)"",""ref"":true,""points"":[{""y"":2022,""v"":14.2},{""y"":2050,""v"":14.2}]}]","{""definition"":""66세 이상 인구 중 처분가능소득이 중위소득 50% 미만인 사람의 비율. K-SDGs 목표1의 대표 지표이며, 한국은 OECD 회원국 중 지속적으로 최상위권입니다."",""sources"":[{""title"":""가계금융복지조사 — 66세 이상 상대적 빈곤율 39.7%(2022년 소득 기준)"",""org"":""통계청"",""year"":2023,""url"":""https://kostat.go.kr/""},{""title"":""Pensions at a Glance — 노인빈곤율 OECD 평균 약 14%"",""org"":""OECD"",""year"":2023,""url"":""https://www.oecd.org/publications/pensions-at-a-glance/""}],""steps"":[""① 기준값은 통계청 공표 39.7%(R)."",""② 국민연금 수급자 비율과 평균 가입기간이 성숙하면서 빈곤율이 낮아지는 경로를 가정했습니다. 현재 65세 이상 국민연금 수급률은 약 50%, 평균 가입기간 약 19년이며, 2050년경 수급률 80%대·가입기간 25년 이상으로 성숙합니다."",""③ 국제 벤치마크법(M4): 일본·스페인 등 연금제도가 30년 이상 성숙한 뒤 노인빈곤율이 20% 안팎에서 수렴한 사례를 상한 참조로 삼아, 2050년 24% 수준으로 완만히 하락하는 경로를 그렸습니다."",""④ 중간 연도는 두 끝점 사이 선형 보간.""],""assumptions"":[""국민연금 소득대체율·기초연금 수준이 현행 제도에서 크게 후퇴하지 않음"",""고령자 근로소득 비중이 현 수준에서 급락하지 않음"",""중위소득 자체의 성장 속도가 연금액 인상 속도를 크게 앞지르지 않음""],""limits"":""이 값은 통계청·보건복지부의 공식 전망이 아니라 이 대시보드의 추정입니다. 연금개혁 방향(소득대체율·보험료율 조정)에 따라 결과가 크게 달라지며, 반대로 국민연금 기금 소진(S07 참조)이 급여 삭감으로 이어지면 빈곤율은 다시 상승할 수 있습니다. 방향성만 참고하십시오."",""badge_reason"":""기준값 R, 전망 구간은 해외 성숙 사례를 참조한 추정이므로 E이며 OECD 비교선은 B 성격을 겸합니다.""}",7
S02-D1,S02,인구가 전년 대비 감소하는 시도 수,개 시도(전체 17),direct,11,"10,8",negative,strong,R,high,11개(2022) → 2039년부터 세종 제외 16개 전 시도 감소,,"[{""y"":2022,""v"":11,""b"":""R"",""c"":""high""},{""y"":2030,""v"":13,""b"":""E"",""c"":""low""},{""y"":2039,""v"":16,""b"":""R"",""c"":""high""},{""y"":2052,""v"":16,""b"":""R"",""c"":""high""}]",,"{""definition"":""해당 연도에 전년 대비 총인구가 줄어드는 시도의 개수. 인구감소가 특정 지역 문제에서 전국 현상으로 전환되는 시점을 보여줍니다."",""sources"":[{""title"":""장래인구추계(시도편): 2022~2052년 — 2022년 11개 시도 마이너스 성장, 2039년부터 세종 제외 16개 시도 감소"",""org"":""통계청"",""year"":2024,""url"":""https://www.korea.kr/briefing/policyBriefingView.do?newsId=156632807""}],""steps"":[""보도자료 본문에 명시된 2022년(11개)과 2039년 이후(16개)를 고정점으로 인용했습니다."",""2030년 값만 공표되지 않아 두 고정점 사이를 선형 보간(M3)해 13개로 채우고 E 배지를 부여했습니다.""],""assumptions"":[""2022~2039년 사이 감소 시도 수가 단조 증가한다고 가정""],""limits"":""시도 수는 정수 단위 계단 지표라 보간이 물리적 의미를 갖지 않습니다. 2030년 값은 추세 이해용 표시일 뿐입니다."",""badge_reason"":""공표 문장에 직접 기재된 값이므로 R. 보간점만 E.""}",1
S02-D2,S02,부산광역시 인구,만 명,direct,11,"8,10",negative,strong,S,mid,"331만(2022) → 265만 이하(2052), 감소율 20% 이상으로 전국 최대",,"[{""y"":2022,""v"":331.7,""b"":""R"",""c"":""high""},{""y"":2032,""v"":309.3,""b"":""E"",""c"":""low""},{""y"":2042,""v"":286.6,""b"":""E"",""c"":""low""},{""y"":2052,""v"":265.4,""b"":""S"",""c"":""mid""}]",,"{""definition"":""부산광역시 총인구. 광역시급 대도시에서도 인구 급감이 진행된다는 사실을 보여주기 위해 감소율 1위 시도로 선정했습니다."",""sources"":[{""title"":""장래인구추계(시도편): 2022~2052년 — 2052년 부산 인구는 2022년 대비 20% 이상 감소"",""org"":""통계청"",""year"":2024,""url"":""https://www.korea.kr/briefing/policyBriefingView.do?newsId=156632807""},{""title"":""주민등록인구현황 — 2022년 부산 인구 331.7만 명"",""org"":""행정안전부"",""year"":2023,""url"":""https://jumin.mois.go.kr/""}],""steps"":[""① 2022년 값은 실측 인구(R)."",""② 보도자료는 '20% 이상 감소'라고만 밝혔으므로, 정확히 20%를 적용해 보수적 하한을 산출했습니다: 331.7 × 0.80 = 265.4만 명(S)."",""③ 2032·2042년은 두 끝점 사이를 지수 보간(M3)했습니다. 예) V(2042)=331.7×(265.4/331.7)^(20/30)=286.6만 명.""],""assumptions"":[""'20% 이상'의 실제 값이 20%에 가깝다고 가정(실제로는 더 클 수 있음 → 이 값은 하한)"",""구간 내 감소율이 일정하다고 가정""],""limits"":""실제 공표 수치는 20%보다 큰 감소일 수 있으므로 2052년 값은 보수적 상한(인구는 이보다 적을 가능성)입니다. 원 보도자료의 시도별 인구 표를 열람하면 정확한 값으로 대체해야 합니다."",""badge_reason"":""공표된 '20% 이상'이라는 문구로부터 계산했으므로 S(계산식 공개), 보간점은 E.""}",2
S02-D3,S02,인구감소지역 지정 시군구,개,direct,10,"11,1",negative,strong,R,high,"89곳 지정 + 관심지역 18곳, 전국 시군구의 38.9%",,"[{""y"":2021,""v"":89,""b"":""R"",""c"":""high""},{""y"":2024,""v"":89,""b"":""R"",""c"":""high""}]",,"{""definition"":""행정안전부가 연평균인구증감률·인구밀도·고령화비율 등 8개 지표로 산정한 '인구감소지수'에 따라 지정·고시한 시군구. 지방소멸대응기금(연 1조 원 규모) 배분의 근거가 됩니다."",""sources"":[{""title"":""인구감소지역 지정 결과(89개) 및 관심지역(18개)"",""org"":""행정안전부"",""year"":2021,""url"":""https://www.mois.go.kr/frt/sub/a06/b06/populationDecline/screen.do""}],""steps"":[""행안부 고시 목록의 개수를 그대로 인용했습니다."",""비율은 전국 기초자치단체 229개(시75·군82·자치구69) 대비로 계산: 89 ÷ 229 = 38.9%(S).""],""assumptions"":[""2021년 최초 지정 이후 2024년 현재까지 목록 변동 없음""],""limits"":""지정 여부는 정책적 판단이 개입된 행정 구분이며, 지정되지 않았더라도 실질적으로 인구가 급감하는 읍면동은 다수입니다. 시군구 단위로 집계되므로 대도시 내부의 원도심 공동화(예: 관심지역에 포함된 대전 동구, 부산 중구)는 별도로 보아야 합니다."",""badge_reason"":""고시 목록의 개수를 그대로 인용, R.""}",3
