code,name,org,portal,freq,domain,goals,keywords,note,url,org_url,display,order
K001,인구총조사,통계청,KOSIS,5년,인구,"1,5,10,11","인구,가구,세대,주택,거주,인구수",,https://kosis.kr/search/search.do?query=%EC%9D%B8%EA%B5%AC%EC%B4%9D%EC%A1%B0%EC%82%AC,https://kostat.go.kr,TRUE,1
K002,장래인구추계,통계청,KOSIS,2~3년,인구,"3,10,11","장래인구,인구추계,고령,노인,생산연령,부양비",,https://kosis.kr/search/search.do?query=%EC%9E%A5%EB%9E%98%EC%9D%B8%EA%B5%AC%EC%B6%94%EA%B3%84,https://kostat.go.kr,TRUE,2
K003,주민등록인구현황,행정안전부,KOSIS,월,인구,"10,11","주민등록,인구,세대수,지역인구",,https://kosis.kr/search/search.do?query=%EC%A3%BC%EB%AF%BC%EB%93%B1%EB%A1%9D%EC%9D%B8%EA%B5%AC%ED%98%84%ED%99%A9,https://www.mois.go.kr,TRUE,3
K004,인구동향조사(출생·사망·혼인·이혼),통계청,KOSIS,월·연,인구,"3,5","출생,사망,합계출산율,혼인,이혼,영아사망",,https://kosis.kr/search/search.do?query=%EC%9D%B8%EA%B5%AC%EB%8F%99%ED%96%A5%EC%A1%B0%EC%82%AC(%EC%B6%9C%EC%83%9D%C2%B7%EC%82%AC%EB%A7%9D%C2%B7%ED%98%BC%EC%9D%B8%C2%B7%EC%9D%B4%ED%98%BC),https://kostat.go.kr,TRUE,4
K005,국내인구이동통계,통계청,KOSIS,월·연,인구,"10,11","인구이동,전입,전출,이동률",,https://kosis.kr/search/search.do?query=%EA%B5%AD%EB%82%B4%EC%9D%B8%EA%B5%AC%EC%9D%B4%EB%8F%99%ED%86%B5%EA%B3%84,https://kostat.go.kr,TRUE,5
K010,가계금융복지조사,통계청·한국은행·금융감독원,KOSIS,연,소득·자산,"1,10","상대빈곤율,빈곤,소득,자산,부채,지니계수,5분위배율,소득분배,처분가능소득",,https://kosis.kr/search/search.do?query=%EA%B0%80%EA%B3%84%EA%B8%88%EC%9C%B5%EB%B3%B5%EC%A7%80%EC%A1%B0%EC%82%AC,https://kostat.go.kr,TRUE,6
K011,가계동향조사,통계청,KOSIS,분기,소득·소비,"1,10,12","가계지출,소비지출,가계소득,엥겔",,https://kosis.kr/search/search.do?query=%EA%B0%80%EA%B3%84%EB%8F%99%ED%96%A5%EC%A1%B0%EC%82%AC,https://kostat.go.kr,TRUE,7
K012,국민기초생활보장 수급자 현황,보건복지부,KOSIS,연,복지,1,"기초생활,수급자,생계급여,의료급여,주거급여,사회안전망",,https://kosis.kr/search/search.do?query=%EA%B5%AD%EB%AF%BC%EA%B8%B0%EC%B4%88%EC%83%9D%ED%99%9C%EB%B3%B4%EC%9E%A5%20%EC%88%98%EA%B8%89%EC%9E%90%20%ED%98%84%ED%99%A9,https://www.mohw.go.kr,TRUE,8
K013,사회보장통계,보건복지부,기관 누리집,연,복지,"1,10","사회보장,사회지출,공적사회지출,복지예산,사각지대",,https://kosis.kr/search/search.do?query=%EC%82%AC%ED%9A%8C%EB%B3%B4%EC%9E%A5%ED%86%B5%EA%B3%84,https://www.mohw.go.kr,TRUE,9
K014,국민연금 통계연보,국민연금공단,기관 누리집,연,복지,"1,8","국민연금,연금,가입률,납부,노후소득",,https://kosis.kr/search/search.do?query=%EA%B5%AD%EB%AF%BC%EC%97%B0%EA%B8%88%20%ED%86%B5%EA%B3%84%EC%97%B0%EB%B3%B4,https://www.nps.or.kr,TRUE,10
