stat_code,indicator_code,match
ST01,S01-D1,exact
ST01,S01-D2,exact
ST01,S01-D3,exact
ST01,S01-I1,exact
ST01,S01-I2,exact
ST01,S02-D1,exact
ST01,S02-D2,exact
ST01,S02-I1,near
ST01,S09-D2,near
ST02,S02-I2,exact
ST02,S02-I3,exact
ST03,S02-D2,exact
ST03,S02-I1,exact
ST04,S02-D3,exact
ST05,S01-D1,context
ST06,S01-I4,exact
ST07,S01-I3,exact
ST08,S01-I3,near
ST09,S03-I2,exact
ST09,S04-I2,exact
ST10,S08-I2,near
ST11,S01-I1,near
ST12,S05-D1,exact
ST12,S05-I1,near
ST12,S05-I2,near
ST12,S05-I4,exact
ST12,S06-I3,near
ST13,S05-D1,context
ST14,S06-I1,exact
ST15,S06-I4,exact
ST16,S06-D3,near
ST17,S06-D1,exact
ST17,S06-D2,exact
ST17,S06-D3,exact
ST18,S08-D1,exact
ST18,S08-D2,exact
ST18,S08-I1,near
ST19,S08-D3,exact
ST20,S09-I3,exact
ST21,S09-D1,near
ST21,S09-D2,near
ST21,S09-I4,near
ST22,S09-D1,context
ST23,S09-I2,exact
ST24,S03-I4,near
ST24,S04-I3,near
ST25,S04-I3,exact
ST26,S10-I3,exact
ST27,S10-I2,exact
ST28,S10-D1,exact
ST28,S10-D2,exact
ST28,S10-I4,near
ST29,S03-D1,exact
ST29,S03-D2,exact
ST29,S03-D3,exact
ST29,S03-I1,exact
ST29,S04-D1,exact
ST29,S04-D2,exact
ST29,S04-D3,exact
ST29,S04-I1,exact
ST30,S03-D3,near
ST30,S04-D3,near
ST31,S04-I4,exact
ST31,S10-I1,context
ST32,S05-I4,near
ST32,S06-I2,context
ST33,S06-I2,near
ST34,S05-I2,exact
ST34,S07-D1,context
ST34,S08-I3,context
ST35,S07-D1,context
ST35,S01-D3,context
ST36,S07-I3,exact
ST37,S07-D2,exact
ST37,S07-D3,exact
ST38,S07-I1,exact
ST38,S01-I4,context
ST39,S07-I2,exact
ST40,S07-I4,exact
ST41,S02-I4,exact
ST42,S02-I4,near
ST43,S02-I1,context
ST48,S03-D3,context
ST48,S04-D3,context
ST49,S01-D1,context
ST53,S02-I2,context
