code,name,source,portal,url,goal
IDXN-1002,용도지역.용도지구 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1002,
IDXN-1003,개발제한구역 지정 및 해제현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1003,
IDXN-1007,지역별 인구 및 인구밀도,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1007,
IDXN-1008,지역내총생산(GRDP),e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1008,
IDXN-1009,"총인구, 인구성장률",e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1009,
IDXN-1010,남녀별 연령별 인구구조,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1010,
IDXN-1011,출생 사망 추이,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1011,
IDXN-1012,사망원인별 사망률 추이,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1012,
IDXN-1013,국내인구이동,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1013,
IDXN-1014,국제인구 이동,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1014,
IDXN-1015,정부기구 추이,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1015,
IDXN-1016,행정부 국가공무원 정원,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1016,
IDXN-1017,행정기관 위원회,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1017,
IDXN-1018,행정부 국가공무원 신규임용 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1018,
IDXN-1021,공무원 보수 추이,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1021,
IDXN-1022,소방공무원 1인당 담당 인구수,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1022,
IDXN-1023,공무원직장협의회 및 가입자,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1023,
IDXN-1024,노인 빈곤율,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1024,
IDXN-1025,행정정보 공동이용,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1025,
IDXN-1026,정부24 서비스,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1026,
IDXN-1027,UN 전자정부평가,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1027,
IDXN-1033,공공기관 청렴도,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1033,
IDXN-1034,부패 인식도,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1034,
IDXN-1035,부패인식지수(CPI),e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1035,
IDXN-1037,대기오염물질 배출량,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1037,
IDXN-1038,공공기관 정보공개,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1038,
IDXN-1039,국가기록물 소장,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1039,
IDXN-1040,중앙-지방간 인사교류,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1040,
IDXN-1041,자치단체 행정구역 및 인구현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1041,
IDXN-1042,지방자치단체 공무원 정원,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1042,
IDXN-1043,중앙정부의 지방이전 재원 규모,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1043,
IDXN-1044,지방재정 규모(세외수입 포함),e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1044,
IDXN-1045,국가예산 대비 지방예산 비율,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1045,
IDXN-1046,지방자치단체 채무,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1046,
IDXN-1047,지방자치단체 기금,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1047,
IDXN-1048,지방교부세,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1048,
IDXN-1049,위생용품 생산 및 위생처리 실적,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1049,
IDXN-1050,담당 부서 및 연락처 : &nbsp;,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1050,
IDXN-1052,광공업생산 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1052,
IDXN-1053,서비스업 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1053,
IDXN-1054,소비동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1054,
IDXN-1055,설비투자 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1055,
IDXN-1056,건설투자 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1056,
IDXN-1057,경기종합지수,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1057,
IDXN-1058,소비자동향지수(CSI),e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1058,
IDXN-1059,제조업 경기실사지수(BSI) 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1059,
IDXN-1060,소비자물가지수,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1060,
IDXN-1061,생산자물가지수,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1061,
IDXN-1062,수출입물가지수,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1062,
IDXN-1063,취업자 수/실업률 추이,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1063,
IDXN-1065,해외직접투자,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1065,
IDXN-1066,수출입 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1066,
IDXN-1067,외환보유액,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1067,
IDXN-1068,담당 부서 및 연락처 : &nbsp;,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1068,
IDXN-1069,대외채무 및 대외채권,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1069,
IDXN-1070,국가신용등급 추이,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1070,
IDXN-1071,외평채 스프레드 추이,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1071,
IDXN-1072,통화량 추이,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1072,
IDXN-1073,시장금리 추이,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1073,
IDXN-1075,어음부도율,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1075,
IDXN-1076,가계신용 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1076,
IDXN-1078,신용보증 규모,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1078,
IDXN-1079,"상장회사수, 시가총액",e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1079,
IDXN-1080,주가지수-코스닥 종합지수,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1080,
IDXN-1081,회사채 발행규모,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1081,
IDXN-1082,펀드 수탁고,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1082,
IDXN-1084,기업공개실적,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1084,
IDXN-1085,유상증자 실적,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1085,
IDXN-1086,외국인 증권투자 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1086,
IDXN-1087,은행BIS 기준자기자본비율,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1087,
IDXN-1088,증권회사 영업용 순자본 비율,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1088,
IDXN-1089,신용카드사 조정자기자본비율,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1089,
IDXN-1090,신협순자본 비율,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1090,
IDXN-1091,상호저축은행 BIS자기자본비율,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1091,
IDXN-1092,보험회사 지급여력비율,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1092,
IDXN-1093,은행 총자산이익률(ROA),e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1093,
IDXN-1094,은행고정이하여신비율,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1094,
IDXN-1096,추경편성 추이,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1096,
IDXN-1097,"IMD, WEF 국가경쟁력 순위",e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1097,
IDXN-1098,부담금 규모,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1098,
IDXN-1099,공공기관 임직원 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1099,
IDXN-1100,"공공기관 재무정보(자산, 부채, 부채비율)",e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1100,
IDXN-1101,공공기관 재무정보(당기순이익),e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1101,
IDXN-1102,공기업 및 준정부기관 경영평가결과,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1102,
IDXN-1103,공공기관 고객만족도 결과,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1103,
IDXN-1104,통합재정수지,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1104,
IDXN-1105,국유재산 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1105,
IDXN-1106,국가채무추이,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1106,
IDXN-1107,국가채권추이,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1107,
IDXN-1109,의료용 마약류의 조제·투약 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1109,
IDXN-1110,의약품 허가·신고 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1110,
IDXN-1115,변호사시험 합격자 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1115,
IDXN-1116,연기금투자풀 수탁규모,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1116,
IDXN-1117,연기금투자풀 수익률,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1117,
IDXN-1118,기금 운용규모,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1118,
IDXN-1122,조세부담률,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1122,
IDXN-1123,국세 및 지방세 비중,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1123,
IDXN-1124,국세수입실적,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1124,
IDXN-1125,종합소득세 신고현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1125,
IDXN-1126,근로소득세 신고(지급조서 제출)현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1126,
IDXN-1127,법인세 신고현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1127,
IDXN-1128,부가가치세 신고현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1128,
IDXN-1129,개별(특별)소비세 신고 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1129,
IDXN-1130,양도소득세 부과현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1130,
IDXN-1131,보호소년 교과교육 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1131,
IDXN-1133,세무조사 추이,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1133,
IDXN-1134,관세청 소관 세수실적,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1134,
IDXN-1135,관세 환급실적(환급방법별),e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1135,
IDXN-1136,밀수 등 관세·부정무역사범 단속 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1136,
IDXN-1137,외환사범 단속 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1137,
IDXN-1138,마약 밀수 검거 추이,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1138,
IDXN-1139,해외플랜트 수주 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1139,
IDXN-1140,외국인 직접투자 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1140,
IDXN-1142,주요 유통업체 매출 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1142,
IDXN-1143,주요 원자재 가격 동향(철강분야),e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1143,
IDXN-1144,주요 원자재 가격 동향(석유화학분야),e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1144,
IDXN-1145,대중소기업 상생협력기반 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1145,
IDXN-1146,한국산업규격(표준화) 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1146,
IDXN-1148,기술거래시장 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1148,
IDXN-1149,산업기술인력 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1149,
IDXN-1150,자동차산업 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1150,
IDXN-1151,조선산업 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1151,
IDXN-1152,철강산업 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1152,
IDXN-1153,석유화학산업 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1153,
IDXN-1154,일반기계산업 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1154,
IDXN-1156,우주항공산업 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1156,
IDXN-1158,국내 바이오산업 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1158,
IDXN-1159,소재부품장비 동향조사,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1159,
IDXN-1160,섬유산업 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1160,
IDXN-1161,디자인산업 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1161,
IDXN-1163,전력수급 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1163,
IDXN-1164,석유수급 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1164,
IDXN-1165,가스(LNG)수급 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1165,
IDXN-1166,석탄(무연탄)수급 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1166,
IDXN-1167,해외자원개발 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1167,
IDXN-1168,국내광업권 등록현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1168,
IDXN-1171,신재생에너지 보급현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1171,
IDXN-1174,기업결합 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1174,
IDXN-1175,대규모기업집단 지정현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1175,
IDXN-1177,채무보증 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1177,
IDXN-1178,지주회사 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1178,
IDXN-1179,하도급거래관행 개선,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1179,
IDXN-1180,소비자 피해구제 상황(분쟁조정기구 운영),e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1180,
IDXN-1181,중소기업 일반현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1181,
IDXN-1182,창업기업 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1182,
IDXN-1183,중소제조업 경영동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1183,
IDXN-1184,중소제조업 생산동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1184,
IDXN-1186,심리치료프로그램 이수명령 집행 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1186,
IDXN-1191,중소제조업 인력현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1191,
IDXN-1195,벤처기업정밀실태조사,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1195,
IDXN-1196,벤처캐피탈 투자현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1196,
IDXN-1198,소상공인현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1198,
IDXN-1199,소상공인시장 경기동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1199,
IDXN-1200,도시 일반현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1200,
IDXN-1201,도시군계획시설 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1201,
IDXN-1202,도시군계획시설 미집행 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1202,
IDXN-1203,도시군계획사업 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1203,
IDXN-1204,개발행위허가 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1204,
IDXN-1205,"도시공원, 녹지, 유원지",e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1205,
IDXN-1206,도로현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1206,
IDXN-1207,도로보급률현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1207,
IDXN-1208,고속국도 차량이용 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1208,
IDXN-1209,고속국도 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1209,
IDXN-1210,유료도로 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1210,
IDXN-1211,일반국도 관리연장 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1211,
IDXN-1212,일 평균 도로교통량,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1212,
IDXN-1213,도로교량 및 터널 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1213,
IDXN-1214,수자원 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1214,
IDXN-1215,하천정비(제방)현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1215,
IDXN-1216,지하수 이용현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1216,
IDXN-1217,광역상수도 및 공업용수도,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1217,
IDXN-1218,댐 저수 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1218,
IDXN-1219,건설투자동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1219,
IDXN-1220,건설수주 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1220,
IDXN-1221,해외건설수주,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1221,
IDXN-1223,골재허가실적 및 채취실적,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1223,
IDXN-1224,건축허가·착공·준공 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1224,
IDXN-1226,건축물 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1226,
IDXN-1227,주택보급률,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1227,
IDXN-1228,인구 천명당 주택수,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1228,
IDXN-1229,주택건설인허가실적,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1229,
IDXN-1230,임대주택 건설실적,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1230,
IDXN-1231,임대주택 분양전환 실적,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1231,
IDXN-1232,임대주택 재고,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1232,
IDXN-1233,공동주택 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1233,
IDXN-1234,주택 미분양 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1234,
IDXN-1235,재건축 추진현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1235,
IDXN-1238,주택도시기금 조성 및 운용 실적,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1238,
IDXN-1239,자가점유비율,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1239,
IDXN-1240,주택매매가격 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1240,
IDXN-1241,주택전세가격 동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1241,
IDXN-1242,유형별재고주택현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1242,
IDXN-1243,토지거래동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1243,
IDXN-1244,지가동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1244,
IDXN-1245,수송량 및 수송분담률,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1245,
IDXN-1248,도로교통 혼잡비용,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1248,
IDXN-1249,철도여객수송 추이,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1249,
IDXN-1250,철도화물수송 추이,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1250,
IDXN-1251,철도사고현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1251,
IDXN-1252,고속철도 여객 수송동향,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1252,
IDXN-1253,철도공사 경영 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1253,
IDXN-1254,항공노선 취항 추이,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1254,
IDXN-1255,"항공 여객 수송(국내,국제)",e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1255,
IDXN-1256,"항공 화물 수송(국내,국제)",e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1256,
IDXN-1257,자동차 등록 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1257,
IDXN-1258,수송수단별 여객 수송,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1258,
IDXN-1259,연도별 도시철도 수송실적,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1259,
IDXN-1261,해운 서비스 외화가득액 증가 추이,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1261,
IDXN-1262,주요 해운 선진국의 지배선대 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1262,
IDXN-1263,국적선원 취업현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1263,
IDXN-1264,국내여객수송실적,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1264,
IDXN-1265,전국항만 물동량 처리 현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1265,
IDXN-1266,전자여행허가(K-ETA) 신청현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1266,
IDXN-1267,컨테이너 화물 처리현황,e-나라지표,index.go.kr,https://www.index.go.kr/unify/idx-info.do?idxCd=1267,
