code,name,org,portal,freq,goals,targets,note,url,display,order
ST01,장래인구추계 (전국편·시도편),통계청(국가데이터처),KOSIS,2~3년,"3,10,11","3-8,11-3",이 대시보드에서 가장 많은 지표가 의존하는 통계입니다. 원 결과표를 받으면 S01·S02의 보간값(E 배지)을 전부 공표값으로 대체할 수 있습니다.,,TRUE,1
ST02,인구주택총조사,통계청(국가데이터처),KOSIS,매년(등록센서스),"11,1",11-1,빈집 통계의 원천입니다. 통계청 정의(일시적 공가 포함) 기준이라 한국부동산원의 '방치 빈집'과 다릅니다.,,TRUE,2
ST03,주민등록인구현황,행정안전부,KOSIS·행안부,월,"11,10","11-3,10-2",실측 인구라 추계와 달리 시군구·읍면동 단위까지 즉시 확인됩니다. 지역 인구감소 추세 검증에 가장 빠른 자료입니다.,,TRUE,3
ST04,인구감소지역 지정 현황,행정안전부,행안부·나비스(NABIS),비정기(고시),"10,11","11-3,10-2",행정 고시 목록이라 통계라기보다 정책 지정값입니다. 지방소멸대응기금 배분 근거이기도 합니다.,,TRUE,4
ST05,인구동향조사 (출생·사망),통계청(국가데이터처),KOSIS,월·연,3,"3-8,3-5,3-6",합계출산율 실적치의 원천입니다. 장래인구추계의 출산율 가정이 실제와 얼마나 벌어졌는지 확인할 때 씁니다.,,TRUE,5
ST06,가계금융복지조사,통계청·한국은행·금융감독원,KOSIS,연,"1,10","1-1,10-1","노인 상대적 빈곤율의 공식 산출 근거입니다. S01-I4의 기준값(39.7%)이 여기서 나왔고, 전망 구간(E 배지)을 대체할 실적 시계열도 이 조사에서 확보됩니다.",,TRUE,6
ST07,건강보험 주요통계 / 건강보험통계연보,국민건강보험공단·건강보험심사평가원,KOSIS·공단,연,3,"3-9,3-1",노인 1인당 진료비와 65세 이상 진료비 총액의 원천입니다. 장기 시계열을 받으면 S01-I3의 실질 증가율 가정(연 3.0%)을 실측으로 교체할 수 있습니다 — 이 대시보드에서 가장 민감도가 큰 가정입니다.,,TRUE,7
ST08,국민보건계정,보건복지부·한국보건사회연구원,복지부,연,3,3-9,건강보험 급여 밖의 비급여·본인부담까지 포함한 총 국민의료비입니다. 건강보험 통계만 보면 과소평가되는 부분을 잡아줍니다.,,TRUE,8
ST09,온열질환 응급실감시체계,질병관리청,질병관리청·공공데이터포털,연(여름철 일별),"3,13","3-7,13-1",연도별 온열질환자·사망자 수의 원천입니다. 장기 시계열(2011년~)을 받으면 S03-I2의 폭염 탄력성(0.30)을 관측 2개년이 아니라 전 기간으로 재추정할 수 있습니다.,,TRUE,9
ST10,사망원인통계,통계청(국가데이터처),KOSIS,연,3,"3-1,3-3,3-7",대기오염 기인 조기사망은 직접 집계되지 않습니다. 사망원인 자료에 노출-반응 함수를 결합해야 산출되므로 '근접'입니다.,,TRUE,10
