target_id,goal_id,target_name,target_desc,order,display
1-1,G1,"남녀노소, 장애여부 등과 관계없이 빈곤인구 비율을 OECD 평균 이하 수준으로 줄인다.",소관: 보건복지부,1,TRUE
1-2,G1,"사회보장제도의 사각지대를 최소화하고, 빈곤층과 취약계층에 대한 실질적 보장을 달성한다.",소관: 보건복지부,2,TRUE
1-3,G1,빈곤층과 취약계층에 사회서비스 제공을 강화한다.,소관: 보건복지부,3,TRUE
1-4,G1,"빈곤층과 취약계층의 경제･사회･환경적 충격 및 재난･안전에 대한 노출을 감소하고, 회복력을 강화한다.",,4,TRUE
2-1,G2,취약계층에 대한 식량 접근성을 안정적으로 보장한다.,소관: 농림축산식품부,5,TRUE
2-2,G2,"농가 소득원을 다각화하고, 경영 안전망을 확충하여 농가 소득 증대를 도모한다.",소관: 농림축산식품부,6,TRUE
2-3,G2,지속가능한 식량생산체계를 구축한다.,소관: 농림축산식품부·농촌진흥청,7,TRUE
2-4,G2,"종자, 작물, 가축의 유전적 다양성을 유지하고 신품종을 개발한다.",소관: 농촌진흥청,8,TRUE
2-5,G2,식량작물의 가격 변동성을 줄여 식량 접근성을 보장한다.,소관: 농림축산식품부,9,TRUE
3-1,G3,만성질환의 위험요인관리와 건강보장을 확대한다.,소관: 보건복지부,10,TRUE
3-2,G3,정신건강을 증진하고 약물오남용을 예방한다.,소관: 보건복지부,11,TRUE
3-3,G3,교통사고 등 각종 인명사고로 인한 사망과 신체손상을 예방한다.,소관: 국토교통부,12,TRUE
3-4,G3,감염병의 예방과 관리를 위해 노력한다.,소관: 보건복지부·질병관리청,13,TRUE
3-5,G3,모성의 건강을 보호하고 증진한다.,소관: 보건복지부,14,TRUE
3-6,G3,아동의 건강을 보호하고 증진한다.,소관: 보건복지부,15,TRUE
3-7,G3,"유해화학물질, 대기, 물, 토양오염으로 인한 사망과 질병을 줄인다.",소관: 환경부·보건복지부·질병관리청,16,TRUE
3-8,G3,대한민국의 저출생 극복과 인구고령화를 대비한다.,소관: 보건복지부,17,TRUE
3-9,G3,공공보건의료서비스를 확대하여 보편적 의료보장을 달성한다.,소관: 보건복지부,18,TRUE
4-1,G4,모든 아동이 성별과 장애유무에 관계없이 적절하고 효과적인 학습성과를 거둘 수 있도록 양질의 무상 초･중등교육의,소관: 교육부,19,TRUE
