indicator_id,year,value,region,note
1-1-1,2018,16.7,전국,기준값
1-1-2,2018,0.97,전국,기준값
1-2-1,2018,36.2,전국,기준값
1-2-2,2019,90.3,전국,기준값
1-2-3,2018,78.6,전국,기준값
1-3-1,2018,11.1,전국,기준값
1-3-2,2015,3,전국,기준값
10-1-1,2018,46,전국,기준값
10-1-2,2018,34.2,전국,기준값
10-2-1,2017,5.1,전국,기준값
10-2-2,2019,17.9,전국,기준값
10-3-2,2019,3.1,전국,기준값
10-4-1,2017,53.8,전국,기준값
11-1-1,2019,5.3,전국,기준값
11-1-2,2018,2.99,전국,기준값
11-1-3,2019,119,전국,기준값
11-2-1,2016,44.6,전국,기준값
11-2-2,2018,23.4,전국,기준값
11-2-3,2015,1.43,전국,기준값
11-4-1,2019,1,전국,기준값
11-4-2,2020,45253,전국,기준값
11-5-1,2019,0.13,전국,기준값
11-5-2,2019,623.8,전국,기준값
11-6-1,2018,59,전국,기준값
11-6-2,2017,25.14,전국,기준값
11-7-1,2018,10.1,전국,기준값
11-7-2,2019,42.8,전국,기준값
12-11-1,2018,0.21,전국,기준값
12-2-1,2016,12.8,전국,기준값
12-2-2,2019,24,전국,기준값
12-3-2,2018,0.28,전국,기준값
12-4-2,2019,97,전국,기준값
12-4-3,2018,109.6,전국,기준값
12-5-1,2018,62,전국,기준값
12-5-2,2018,81.6,전국,기준값
12-6-1,2017,108,전국,기준값
12-6-2,2017,160,전국,기준값
12-7-1,2019,54.4,전국,기준값
12-7-2,2017,59,전국,기준값
12-8-1,2019,19.2,전국,기준값
12-8-2,2018,55.4,전국,기준값
12-9-1,2018,122,전국,기준값
12-9-2,2017,58.9,전국,기준값
13-1-1,2019,95.32,전국,기준값
13-3-1,2019,10.03,전국,기준값
13-4-1,2017,709.1,전국,기준값
14-1-1,2019,81,전국,기준값
14-1-2,2019,11,전국,기준값
14-2-1,2016,2.04,전국,기준값
14-3-1,2017,8.1,전국,기준값
14-4-1,2020,29,전국,기준값
14-5-1,2020,7979,전국,기준값
14-6-1,2020,72.6,전국,기준값
14-7-1,2020,2.86,전국,기준값
14-7-2,2019,100,전국,기준값
14-7-3,2020,158.2,전국,기준값
15-1-1,2020,16.6,전국,기준값
15-1-2,2015,63.7,전국,기준값
15-2-1,2014,66.67,전국,기준값
15-4-1,2019,320,전국,기준값
15-4-3,2018,99.86,전국,기준값
15-4-4,2020,90.12,전국,기준값
15-4-5,2020,0,전국,기준값
15-5-1,2018,4719,전국,기준값
15-5-2,2020,0,전국,기준값
15-6-1,2018,330,전국,기준값
15-6-2,2020,81791,전국,기준값
15-7-1,2017,315,전국,기준값
15-7-2,2022,379,전국,기준값
16-1-1,2018,10,전국,기준값
16-1-2,2019,1,전국,기준값
16-11-2,2019,28.2,전국,기준값
16-12-1,2019,73.4,전국,기준값
16-2-1,2018,2.98,전국,기준값
16-2-2,2019,99,전국,기준값
16-3-1,2019,7.1,전국,기준값
16-5-1,2019,1.085,전국,기준값
16-9-2,2019,8.2,전국,기준값
17-2-1,2015,55.24,전국,기준값
17-2-2,2017,22.1,전국,기준값
17-5-1,2020,0,전국,기준값
17-7-1,2015,4,전국,기준값
17-7-2,2020,2.7,전국,기준값
2-1-1,2018,88.5,전국,기준값
2-2-1,2019,42870,전국,기준값
2-2-2,2019,38.8,전국,기준값
2-3-1,2019,1.9,전국,기준값
2-3-2,2017,23,전국,기준값
2-3-3,2017,6.3,전국,기준값
2-4-1,2017,249,전국,기준값
2-4-2,2020,280,전국,기준값
2-4-3,2019,266,전국,기준값
2-5-1,2018,1442,전국,기준값
3-1-1,2016,7.8,전국,기준값
3-1-3,2018,22.4,전국,기준값
3-1-4,2017,84.3,전국,기준값
3-2-1,2018,26.6,전국,기준값
3-2-2,2018,8.477,전국,기준값
3-3-1,2018,6.7,전국,기준값
3-4-1,2019,46.4,전국,기준값
3-4-2,2019,1.08,전국,기준값
3-5-1,2018,11.3,전국,기준값
3-6-1,2018,1.5,전국,기준값
3-6-2,2018,74.5,전국,기준값
3-7-1,2017,25.1,전국,기준값
3-8-1,2017,2.8,전국,기준값
3-8-2,2018,6.1,전국,기준값
3-8-3,2019,56.7,전국,기준값
3-8-4,2017,74.7,전국,기준값
3-9-1,2018,1.24,전국,기준값
4-10-2,2018,76.3,전국,기준값
4-10-3,2020,4,전국,기준값
4-2-1,2015,99.4,전국,기준값
4-2-2,2017,58,전국,기준값
4-2-3,2017,24,전국,기준값
4-3-1,2018,49,전국,기준값
4-3-3,2017,35.8,전국,기준값
4-4-1,2019,43.4,전국,기준값
4-4-2,2017,16.1,전국,기준값
4-5-1,2015,0.9,전국,기준값
4-8-1,2020,64.5,전국,기준값
4-8-2,2018,36.7,전국,기준값
4-9-1,2016,0.7,전국,기준값
5-1-1,2019,41.7,전국,기준값
5-2-1,2017,13.8,전국,기준값
5-2-2,2018,3.6,전국,기준값
5-2-3,2018,9.2,전국,기준값
5-3-1,2019,28.9,전국,기준값
5-4-1,2020,19,전국,기준값
5-4-3,2019,19.76,전국,기준값
5-5-3,2018,82.3,전국,기준값
5-6-2,2018,19.3,전국,기준값
5-7-1,2019,85.2,전국,기준값
6-1-1,2017,46.6,전국,기준값
6-1-2,2018,77,전국,기준값
6-2-1,2017,70.1,전국,기준값
6-2-2,2019,12,전국,기준값
6-3-2,2019,41,전국,기준값
6-3-3,2019,56,전국,기준값
6-4-1,2018,10.8,전국,기준값
6-4-2,2018,53.9,전국,기준값
6-4-3,2018,15.5,전국,기준값
6-5-3,2020,3106,전국,기준값
6-6-1,2019,13.7,전국,기준값
7-1-1,2019,6.2,전국,기준값
7-2-1,2018,8.88,전국,기준값
7-2-2,2018,5.8,전국,기준값
7-3-1,2018,0.0979,전국,기준값
7-4-1,2019,4.8,전국,기준값
7-4-2,2018,42959,전국,기준값
8-1-1,2019,2,전국,기준값
8-2-2,2019,36.4,전국,기준값
8-3-2,2019,1285259,전국,기준값
8-4-1,2018,67.8,전국,기준값
8-6-1,2019,0.46,전국,기준값
9-1-1,2019,1.5,전국,기준값
9-1-2,2019,69.9,전국,기준값
9-2-2,2019,168693,전국,기준값
9-2-3,2015,50,전국,기준값
9-3-1,2019,13,전국,기준값
9-3-2,2019,11,전국,기준값
9-4-2,2018,14.7,전국,기준값
9-5-1,2017,455.7,전국,기준값
9-5-2,2018,81.63,전국,기준값
